,0,1,2
60,Sunday: Mister Sunday Indoors with Justin Carter and Bacho Mangual,Nowadays,"Sun, 14 Apr 2019 /"
61,Disco Dimanche with Darshan Jesrani,public records,"Sun, 14 Apr 2019 /"
62,Birdcage with Hex Hector,Le Bain,"Sun, 14 Apr 2019 /"
63,"Sunday Soiree: St. Xose, Da.rco",TBA Brooklyn,"Sun, 14 Apr 2019 /"
64,Paradisco,Le Bain,"Sun, 14 Apr 2019 /"
65,Sidereal,TBA - New York,"Sun, 14 Apr 2019 /"
66,Fear & Loathing,Nublu,"Sun, 14 Apr 2019 /"
67,Tony Touch & Mrvoodooray -Funkboxnyc,Chelsea Music Hall,"Sun, 14 Apr 2019 /"
68,Qualiatik presents: Paracosm (H0l0 DJ Residency 2019),H0L0,"Sun, 14 Apr 2019 /"
69,Half Moon Radio X Bossa Nova II,Bossa Nova Civic Club,"Mon, 15 Apr 2019 /"
70,Memo's Goin Away,TBA Brooklyn,"Mon, 15 Apr 2019 /"
71,H0l0 presents: Schedule-C,H0L0,"Mon, 15 Apr 2019 /"
72,"Delivery. [Bytz's bday] Alex English, J Gabriel",Ms. Yoo,"Tue, 16 Apr 2019 /"
73,Cipher,Bossa Nova Civic Club,"Tue, 16 Apr 2019 /"
74,Funky People // Flavio Acaron & MD,TBA Brooklyn,"Tue, 16 Apr 2019 /"
75,Tab Jones and Friends,Elsewhere,"Tue, 16 Apr 2019 /"
76,Feel Real presents Tech Me Out,Rumpus Room,"Tue, 16 Apr 2019 /"
77,Huuguggy,David Barton Astor Place,"Tue, 16 Apr 2019 /"
78,Escort (Album Release Party!),Elsewhere,"Wed, 17 Apr 2019 /"
79,"Capriccio with Further Reductions, Alex From Queens & Camille",Elsewhere,"Wed, 17 Apr 2019 /"
80,Making Soba: A Japanese Culinary Treasure,Japan Society,"Wed, 17 Apr 2019 /"
81,"Cultivated Sound 17.4.19 - Savile, Haruka, Maŕa, Chamberlain Zhang",Bossa Nova Civic Club,"Wed, 17 Apr 2019 /"
82,Full Flex with Dave Q and Ripley,Good Room,"Wed, 17 Apr 2019 /"
83,"Rendezvous with Arvi, Lorenzo Slider, Willmer Pereira",TBA Brooklyn,"Wed, 17 Apr 2019 /"
84,Todd Fatjo // Jackson Foster // Misael,Bossa Nova Civic Club,"Wed, 17 Apr 2019 /"
85,Tranmissions,H0L0,"Wed, 17 Apr 2019 /"
86,Huuguggy,David Barton Astor Place,"Wed, 17 Apr 2019 /"
87,"Secret Solstice Pre-Party with Metro Area, Alexi Delano, No Regular Play (Live), Nitin",Kings Hall - Avant Gardner,"Thu, 18 Apr 2019 /"
88,"New York Trax 3rd Anniversary with Luke Slater, Ontal, Eon (Live), Rachel Noon",Good Room,"Thu, 18 Apr 2019 /"
89,"Planetarium: Hypnotic Spa, Earthen Sea (Live) and RJ Stefanski",Nowadays,"Thu, 18 Apr 2019 /"
90,Cybn Live,393nyc,"Thu, 18 Apr 2019 /"
91,"AceMo, Moma Ready and X-Coast",Elsewhere,"Thu, 18 Apr 2019 /"
92,"Throne of Blood: James Friedman, Max Pask, Justin Van Der Volgen",public records,"Thu, 18 Apr 2019 /"
93,"Anything Goes: Road To Gather with Brian Cid, Scarris & Mïnk",1 Oak,"Thu, 18 Apr 2019 /"
94,"Caché Life, A Trippy Funky Disco",Le Bain,"Thu, 18 Apr 2019 /"
95,The Black Rock Coalition presents Forever Funky Bernie Worrell Celebration,Coney Island Baby,"Thu, 18 Apr 2019 /"
96,Tranmissions,H0L0,"Thu, 18 Apr 2019 /"
97,"TBA Night with Radiant Aura Faculty, Tab Jones",TBA Brooklyn,"Thu, 18 Apr 2019 /"
98,FSQ Coney Island Baby Monthly Downtown Disco Party,Coney Island Baby,"Thu, 18 Apr 2019 /"
99,Jitwam and Willy Soul,Black Flamingo,"Thu, 18 Apr 2019 /"
